,Age,Gender,City,Education,Income,Dateofjoining,Joining_Designation,Grade,Total_Business_Value,is_rating_increased,is_income_increased,is_grade_increased,is_joining_increased
0,28.0,0.0,C23,2,57387,2018-12-24,1,1,1715580,0,0,0,0
1,31.0,0.0,C7,2,67016,2020-11-06,2,2,0,0,0,0,0
2,43.0,0.0,C13,2,65603,2019-12-07,2,2,350000,0,0,0,0
3,29.0,0.0,C9,0,46368,2019-01-09,1,1,120360,0,0,0,0
4,31.0,1.0,C11,1,78728,2020-07-31,3,3,1265000,1,0,0,0
5,34.0,0.0,C2,0,70656,2020-09-19,3,3,0,0,0,0,0
6,28.0,1.0,C19,2,42172,2020-12-07,1,1,0,0,0,0,0
7,35.0,0.0,C23,2,28116,2019-06-29,1,1,2607180,0,0,0,0
8,31.0,0.0,C19,2,119227,2015-05-28,1,4,10213040,0,0,0,0
9,39.0,1.0,C26,0,19734,2020-10-16,3,3,0,0,0,0,0
10,30.0,1.0,C23,0,52963,2018-11-30,2,2,346800,0,0,0,0
11,43.0,0.0,C20,2,51099,2018-03-06,1,1,1017640,0,0,0,0
12,27.0,1.0,C17,1,31631,2019-01-09,1,1,0,0,0,0,0
13,33.0,1.0,C19,0,40342,2019-10-25,3,3,0,0,0,0,0
14,34.0,1.0,C29,1,22755,2018-05-12,1,1,6962550,0,0,0,0
15,41.0,0.0,C10,2,31224,2018-05-25,1,1,7539490,0,0,0,0
16,31.0,0.0,C24,2,76308,2018-05-25,1,2,4101720,0,0,0,0
17,31.0,0.0,C24,1,102077,2017-10-30,1,3,36351110,1,0,0,0
18,43.0,0.0,C14,2,132577,2018-05-07,1,4,69867900,0,1,1,0
19,30.0,0.0,C13,2,30312,2018-05-20,1,1,1273170,0,0,0,0
20,31.0,0.0,C6,1,69457,2019-10-03,3,3,0,0,0,0,0
21,32.0,1.0,C28,2,65189,2020-07-04,3,3,950940,1,0,0,0
22,28.0,1.0,C14,1,65813,2020-07-31,2,2,476010,0,0,0,0
23,32.0,0.0,C5,1,68070,2020-03-07,3,3,300000,0,0,0,0
24,41.0,1.0,C18,1,32865,2019-07-01,2,2,4277730,0,0,0,0
25,33.0,1.0,C14,1,57375,2020-05-16,2,2,650020,0,0,0,0
26,22.0,0.0,C27,0,13427,2019-12-06,1,1,0,0,0,0,0
27,32.0,0.0,C26,0,72888,2020-08-08,2,2,2422230,0,0,0,0
28,32.0,0.0,C15,0,59182,2019-11-08,2,2,0,0,0,0,0
29,35.0,0.0,C29,2,92372,2019-07-04,4,4,21755910,1,0,0,0
30,44.0,1.0,C28,0,45988,2018-10-20,2,2,994690,0,0,0,0
31,27.0,0.0,C15,0,12906,2018-07-13,1,1,359890,0,0,0,0
32,28.0,0.0,C17,2,62100,2020-09-25,1,1,150110,0,0,0,0
33,35.0,0.0,C8,2,77544,2020-05-29,3,3,5227340,1,0,0,0
34,36.0,1.0,C25,2,42171,2018-10-28,1,1,338290,0,0,0,0
35,30.0,0.0,C21,1,28000,2020-10-09,1,1,866270,0,0,0,0
36,30.2,0.0,C20,0,53039,2018-05-25,1,2,1798800,0,0,0,0
37,49.0,1.0,C5,0,89367,2018-11-20,3,3,110310,0,0,0,0
38,34.0,0.0,C14,0,131347,2017-05-22,4,4,3190010,1,0,0,0
39,37.0,0.0,C19,0,48687,2020-06-28,3,3,1852590,1,0,0,0
40,35.0,0.0,C29,1,127826,2019-07-11,4,5,33823290,0,1,1,0
41,30.0,1.0,C8,0,29985,2019-11-21,1,1,0,0,0,0,0
42,36.0,1.0,C19,2,80223,2018-07-20,1,1,11723470,1,0,0,0
43,38.0,1.0,C1,1,84318,2017-07-26,1,2,22791310,0,0,0,0
44,41.0,0.0,C4,0,57987,2018-10-15,2,2,0,0,0,0,0
45,35.0,1.0,C18,1,31644,2019-01-06,1,1,134660,0,0,0,0
46,48.0,1.0,C20,0,89592,2016-09-17,1,4,49225520,0,1,1,0
47,32.0,0.0,C11,2,19818,2018-05-04,1,1,-439300,0,0,0,0
48,27.0,0.0,C9,2,62376,2020-11-28,1,1,0,0,0,0,0
49,30.2,0.0,C6,0,93931,2016-04-30,1,3,12293120,1,0,0,0
50,33.0,0.0,C27,2,66502,2020-01-31,2,2,193940,0,0,0,0
51,30.0,1.0,C7,1,69539,2018-07-31,2,2,11718580,0,0,0,0
52,27.0,1.0,C4,2,104286,2020-01-21,3,3,0,0,0,0,0
53,41.0,0.0,C28,2,65982,2019-01-04,1,2,12543500,1,0,0,0
54,32.0,0.0,C29,0,79288,2015-10-18,1,3,27309820,0,0,0,0
55,33.0,1.0,C7,1,64604,2019-11-14,2,2,4640080,0,0,0,0
56,35.0,0.0,C20,1,19235,2018-10-08,1,1,0,0,0,0,0
57,43.0,0.0,C20,2,54103,2018-05-25,3,3,188780,0,0,0,0
58,28.0,0.0,C14,2,42242,2020-10-18,2,2,193580,0,0,0,0
59,35.0,1.0,C5,2,59216,2020-05-01,2,2,592270,0,0,0,0
60,25.0,1.0,C18,2,39884,2020-07-21,2,2,2365930,0,0,0,0
61,34.0,0.0,C3,2,63918,2018-05-18,1,2,17959920,1,0,0,0
62,37.0,0.0,C21,0,105946,2018-09-16,2,4,43531510,0,0,0,0
63,32.0,0.0,C14,1,114648,2019-07-09,4,4,0,0,0,0,0
64,29.0,1.0,C7,0,56687,2020-10-02,2,2,153300,0,0,0,0
65,39.0,0.0,C9,2,77177,2018-06-12,1,2,3133680,0,0,0,0
66,37.0,1.0,C24,1,89013,2020-04-11,3,3,0,0,0,0,0
67,34.0,0.0,C23,2,115159,2019-08-29,3,3,750000,0,0,0,0
68,42.0,0.0,C16,0,25950,2019-07-04,1,1,8688020,1,0,0,0
69,25.0,0.0,C22,2,49509,2020-09-28,1,1,0,0,0,0,0
70,35.0,0.0,C2,2,49510,2018-05-28,1,1,0,0,0,0,0
71,37.0,0.0,C6,1,119341,2019-08-31,3,3,36029220,1,0,0,0
72,45.0,1.0,C3,0,62298,2018-01-06,2,2,3248870,0,0,0,0
73,28.0,0.0,C2,1,58977,2019-05-30,2,2,6131430,0,0,0,0
74,33.0,0.0,C22,0,29408,2019-11-11,2,2,543640,0,0,0,0
75,31.0,0.0,C21,0,22731,2019-08-03,2,2,200000,0,0,0,0
76,30.0,0.0,C17,2,39527,2018-07-14,2,2,1220120,0,0,0,0
77,29.0,1.0,C14,2,60874,2020-01-30,3,3,0,0,0,0,0
78,35.0,0.0,C12,2,64953,2020-07-17,3,3,0,0,0,0,0
79,40.0,1.0,C2,2,80771,2020-10-03,3,3,350000,0,0,0,0
80,25.0,0.0,C16,0,63774,2019-08-15,2,3,21415440,0,1,1,0
81,30.0,0.0,C23,0,38068,2020-03-24,2,2,0,0,0,0,0
82,33.0,0.0,C10,0,38945,2017-12-03,1,1,1759840,0,0,0,0
83,22.0,1.0,C12,0,42270,2019-01-05,1,1,0,0,0,0,0
84,33.0,1.0,C28,1,68913,2019-11-30,2,2,544380,0,0,0,0
85,30.0,1.0,C23,1,60332,2020-08-16,2,2,1252320,1,0,0,0
86,38.0,0.0,C4,0,67931,2018-09-18,1,1,0,0,0,0,0
87,34.0,1.0,C22,0,57671,2016-05-27,1,3,4504880,0,0,0,0
88,35.0,0.0,C9,2,102142,2019-12-12,3,3,4545450,0,0,0,0
89,38.0,0.0,C22,2,121259,2020-01-09,3,3,864350,0,0,0,0
90,36.0,1.0,C6,0,33927,2020-04-14,1,1,1927920,1,0,0,0
91,32.0,1.0,C16,1,32663,2019-09-19,1,1,251810,0,0,0,0
92,52.0,0.0,C13,1,73769,2016-12-13,2,3,2167840,0,0,0,0
93,46.0,0.0,C29,1,50466,2018-06-30,1,1,13121470,0,0,0,0
94,42.0,1.0,C10,0,47160,2019-06-23,1,1,670440,0,0,0,0
95,32.0,1.0,C19,0,89456,2020-09-28,3,3,0,0,0,0,0
96,46.0,0.0,C1,1,31752,2015-07-23,1,3,12674940,0,0,0,0
97,22.0,0.0,C11,0,16477,2018-12-04,1,1,1116990,0,0,0,0
98,47.0,1.0,C1,1,144978,2016-01-28,1,5,40152720,0,0,0,0
99,42.0,1.0,C27,0,67904,2020-03-10,3,3,150700,0,0,0,0
100,32.0,1.0,C29,1,71000,2019-11-16,3,3,557720,0,0,0,0
101,30.2,0.0,C14,2,114258,2019-09-28,3,3,0,0,0,0,0
102,33.0,1.0,C13,2,58885,2020-03-07,3,3,0,0,0,0,0
103,27.0,0.0,C26,0,57406,2020-08-07,2,2,605760,1,0,0,0
104,44.0,0.0,C24,1,41401,2018-10-07,1,1,2184160,0,0,0,0
105,33.0,1.0,C10,2,30847,2018-07-29,1,1,1221780,0,0,0,0
106,33.0,0.0,C28,1,84085,2018-05-04,3,3,-70000,0,0,0,0
107,38.0,1.0,C6,1,60708,2020-07-11,2,2,436190,0,0,0,0
108,38.0,0.0,C28,1,39990,2020-01-17,2,2,2928710,0,0,0,0
109,38.0,1.0,C19,1,79086,2013-10-21,2,3,2620360,0,0,0,0
110,27.0,0.0,C20,2,43165,2020-05-01,2,2,0,0,0,0,0
111,44.0,1.0,C23,2,46858,2018-07-30,1,1,873110,0,0,0,0
112,32.0,0.0,C27,0,76904,2020-10-12,3,3,190550,0,0,0,0
113,28.0,0.0,C22,0,98877,2020-09-15,3,3,1517680,1,0,0,0
114,37.0,1.0,C10,0,47009,2018-10-02,1,1,0,0,0,0,0
115,42.0,0.0,C28,0,33459,2020-06-05,2,2,6570070,1,0,0,0
116,48.0,0.0,C21,2,34827,2018-01-26,1,1,0,0,0,0,0
117,32.0,0.0,C14,1,51850,2019-10-31,2,2,0,0,0,0,0
118,38.0,0.0,C9,1,72253,2016-04-29,1,2,13939940,0,0,0,0
119,35.0,0.0,C22,1,65901,2020-07-10,2,2,0,0,0,0,0
120,24.0,0.0,C16,1,29807,2018-06-10,1,1,122040,0,0,0,0
121,40.0,0.0,C12,2,24150,2018-05-01,1,1,340560,0,0,0,0
122,27.0,0.0,C28,2,21933,2019-08-19,1,1,0,0,0,0,0
123,35.0,0.0,C13,1,75112,2020-02-13,3,3,1847280,1,0,0,0
124,36.0,0.0,C9,1,85172,2019-07-20,2,2,0,0,0,0,0
125,41.0,0.0,C15,0,45288,2020-12-11,2,2,0,0,0,0,0
